f1,f2,f3,label
5.568,-3.054,-0.067,B
-0.114,-0.926,0.136,A
0.517,-0.445,0.384,A
-9.546,-4.1,0.445,C
3.885,0.811,-0.6,B
5.479,-0.611,0.717,B
-5.455,0.546,-0.872,C
6.526,3.962,-0.72,B
0.2,-0.649,0.366,A
2.877,3.228,-0.113,B
-1.266,-2.854,-0.183,C
3.257,4.556,-0.427,B
0.811,0.524,0.429,A
7.816,3.934,0.038,B
7.068,-2.661,-0.883,B
-3.403,-3.555,-0.793,C
0.131,-0.133,0.202,A
-6.465,3.566,0.517,C
-3.657,4.529,-0.418,C
-0.474,0.088,0.436,A
4.338,-0.506,-0.456,B
0.411,0.741,0.771,A
1.375,-3.602,-0.771,C
-0.762,-3.387,0.002,C
-2.38,-1.985,0.261,C
-0.434,0.146,0.773,A
0.565,0.525,0.285,A
-9.124,-3.457,0.366,C
5.373,-3.923,0.832,B
-1.684,-4.584,-0.012,C
5.3,1.347,0.107,B
-0.604,0.301,0.041,A
9.238,4.086,0.399,B
-0.047,0.195,0.016,A
0.252,0.739,0.795,A
0.58,-0.479,0.863,A
-0.899,0.152,0.588,A
-0.229,0.724,0.998,A
3.553,-3.782,0.013,B
-7.402,-0.243,-0.546,C
3.368,-0.289,0.13,B
0.576,0.006,0.92,A
-5.953,-1.94,0.158,C
9.848,3.917,0.497,B
3.947,-4.058,0.951,B
-0.562,0.82,0.002,A
-2.591,-0.304,-0.621,C
0.983,0.159,0.808,A
4.005,-1.876,0.665,B
-5.396,-4.626,0.11,C
3.65,-3.602,-0.6,B
1.141,2.839,0.329,B
1.081,-3.914,0.344,C
-9.544,4.586,-0.035,C
6.553,1.317,0.516,B
-0.277,-0.593,0.815,A
-6.954,1.963,-0.108,C
1.621,-1.531,0.182,B
-0.164,0.287,0.204,A
1.753,-3.294,0.85,C
6.095,-1.125,-0.423,B
-0.044,-0.714,0.001,A
4.103,2.807,-0.082,B
3.396,-0.628,0.665,B
1.184,-1.96,-0.938,B
4.895,4.675,-0.348,B
-6.708,-4.551,-0.13,C
0.057,0.053,0.165,A
6.082,2.154,0.478,B
-0.992,-1.292,0.854,C
1.682,1.498,-0.831,B
-4.683,4.692,0.558,C
-1.872,3.14,-0.666,C
-4.375,1.594,0.454,C
-2.909,4.707,0.786,C
-0.53,-2.33,-0.337,C
9.437,0.007,-0.712,B
0.136,0.28,0.963,A
-0.304,-0.35,0.244,A
4.389,-0.679,0.255,B
5.223,2.861,-0.744,B
0.353,-0.094,0.059,A
-2.582,3.298,0.617,C
0.413,-0.611,-0.957,C
0.409,-0.363,0.38,A
0.117,0.315,0.413,A
-8.072,4.026,-0.088,C
0.084,0.283,0.316,A
0.028,0.992,0.417,A
-4.372,-2.064,0.324,C
5.655,-4.173,-0.027,B
-2.764,-4.124,-0.764,C
0.866,-0.007,0.287,A
-0.186,4.378,0.143,B
0.154,-0.422,0.632,A
0.301,-2.44,0.872,C
0.075,0.453,0.471,A
-9.853,2.869,0.33,C
0.503,-0.361,0.419,A
-0.68,0.226,0.528,A
